inventory_id,inventory_name,current_square_item_id,proposed_square_item_id,square_display_name,reason,score
e86e0d92-c41a-4023-bfc4-df611edcedf6,Almond Croissant,2E4GJ4TJTEBMBLCPEFEQ5GFL,I6ATU46TLCIHM24OXD7MHXQC,Almond Croissant,Name similarity match to sales catalog id,1.0000
9f432deb-2e91-416c-87b8-0a72b76ef361,Blueberry Muffin,ZKYQQBCOC2IP72MQ3HXAUHVH,2EWFTLWL7656HZF45IUOILF4,Blueberry Muffin,Name similarity match to sales catalog id,1.0000
5aa8ee34-df7a-4e8d-9ab7-e04d1a2b7251,Boba Bubble Tea,UJJTX2DNPJGN7Y75BO66N42E,DQ3DEJPEOQ4DFRXEHG66RSIR,Boba Bubble Tea,Name similarity match to sales catalog id,1.0000
650e2505-f3cf-4205-81bb-fdb04a4e0b98,Burrito Veggie Black Bean,XW4PSETSS7ES5JOLI4V77FQ2,7DCL6LXOCVWWFE7BGM77LTSZ,Burrito Veggie Black Bean,Name similarity match to sales catalog id,1.0000
464e3d80-e704-4213-a46f-b4e44e57a043,Butter Croissant,ELAA3YKAUSRQH2R55N4NS6VX,XQQYMBZAFSPYS3U27BA7ZZ76,Butter Croissant,Name similarity match to sales catalog id,1.0000
b5659730-2ab2-4c16-9333-8e3ece47aa2f,Cake Pop,LIWXSQMVIGJWEKL4IEPNWPG4,LYKB4ZTC6I6GBVURE3L34QJN,Cake Pop,Name similarity match to sales catalog id,1.0000
9281e857-0a18-41fb-8ba6-b1f2503dc154,Cake Pop Birthday Cake,LATKY2V7RFTEA3DDAFSBBR4K,MB2TNW4IISDIWNAW5C3SXW7B,Cake Pop - Birthday Cake,Name similarity match to sales catalog id,1.0000
1084b444-cbfd-43d0-b98a-fd5a2f62588b,Cake Pop Chocolate Cake,OFMYDCXJJU5GX63NR3P5HZMU,3DK2GEPTRJOQYNISV6BTUKNN,Cake Pop - Chocolate Cake,Name similarity match to sales catalog id,1.0000
734f1f2b-2528-43dc-a773-b2f4704ec6c2,Cake Pop Strawberry Cake,X4KQOXE6CYREBM4IDTPZMSI4,EKT5ZFS7YUVFFDQRIGFF5B54,Cake Pop - Strawberry Cake,Name similarity match to sales catalog id,1.0000
d1d753e1-7296-4e75-92af-5fcba2a16edb,Cake Pops 3 for $10,MTJ6E7RBFMRGK5A5JO254FUT,2HECROJRRIBT5ZGQVUNZT3S4,Cake Pops 3 for $10,Name similarity match to sales catalog id,1.0000
7db1bd91-671f-4cda-b4ee-5bdfa51d5834,Celsius,LF3NWV6JS3UF7E526OJJDZQA,6ZCR77YUMKXESH3M57WFYELL,Celsius,Name similarity match to sales catalog id,1.0000
740982b1-7513-49c8-a9a6-554a82c9d1b3,Chips,ZG3OOMQZCJSQ3YGSVXKWAXDB,BOMMY3YNE4F4XALBBPT776VD,Chips,Name similarity match to sales catalog id,1.0000
fd7c8ff5-1852-4cbb-93f6-2687da5ee992,Chocolate Croissant,BRYU2UUL57H652LOQ2IBBPPS,R4ZZKRPHP7PDTHAIT2YVVB7Q,Chocolate Croissant,Name similarity match to sales catalog id,1.0000
43bbf682-f0af-43fe-b756-5f2ed46ff274,Chocolate Muffin,OIF7WKM6KSTIGEGL27ICCFES,M2JVUY6GF7BJH6CPMP6KKVVH,Chocolate Muffin,Name similarity match to sales catalog id,1.0000
